timestamp,iso_timestamp,record_number,operation_mode,state,ax,ay,az,pitch,roll,gx,gy,gz,latitude,longitude,gps_altitude,gps_time,pressure,temperature,agl_altitude,velocity,pyro1_state,pyro2_state,battery_voltage,wifi_rssi,kalman_altitude,kalman_vertical_velocity,communication_mode,raw_data
1754556040.66456,2025-08-07T11:40:40.664560,1,0,0,-0.07,-0.01,0.96,-3.75,0.29,-10.06,4.45,3.75,-1.2833,36.8167,3.34,9990,0,0,0,0,0,0,0,-92,0,0,BEACON,"{""record_number"": 1, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -92, ""acc_data"": {""ax"": -0.07, ""ay"": -0.01, ""az"": 0.96, ""pitch"": -3.75, ""roll"": 0.29}, ""gyro_data"": {""gx"": -10.06, ""gy"": 4.45, ""gz"": 3.75}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 3.34, ""time"": 9990}, ""alt_data"": {""pressure"": 0, ""temperature"": 0, ""AGL"": 0, ""velocity"": 0, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -92}, ""communication_mode"": ""BEACON"", ""timestamp"": 62470, ""packets_received"": 1, ""kalman_data"": {""altitude"": 0, ""vertical_velocity"": 0}, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}"
1754556041.433605,2025-08-07T11:40:41.433605,2,0,0,-0.07,0,0.95,-4.01,0,-10.43,4.54,4.21,-1.2833,36.8167,5.01,10091,101304.9,25,1.67,0,0,0,0,-92,0,0,BEACON,"{""record_number"": 2, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -92, ""acc_data"": {""ax"": -0.07, ""ay"": 0, ""az"": 0.95, ""pitch"": -4.01, ""roll"": 0}, ""gyro_data"": {""gx"": -10.43, ""gy"": 4.54, ""gz"": 4.21}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 5.01, ""time"": 10091}, ""alt_data"": {""pressure"": 101304.9, ""temperature"": 25, ""AGL"": 1.67, ""velocity"": 0, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 1, ""timeout_exceeded"": false, ""rssi"": -92}, ""communication_mode"": ""BEACON"", ""timestamp"": 62583, ""packets_received"": 2, ""kalman_data"": {""altitude"": 0, ""vertical_velocity"": 0}, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}"
1754556041.570088,2025-08-07T11:40:41.570088,3,0,0,-0.07,0,0.96,-4.12,0,-11.77,5.4,4.02,-1.2833,36.8167,6.68,10190,101284.9,25,3.34,0,0,0,0,-91,0,0,BEACON,"{""record_number"": 3, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -91, ""acc_data"": {""ax"": -0.07, ""ay"": 0, ""az"": 0.96, ""pitch"": -4.12, ""roll"": 0}, ""gyro_data"": {""gx"": -11.77, ""gy"": 5.4, ""gz"": 4.02}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 6.68, ""time"": 10190}, ""alt_data"": {""pressure"": 101284.9, ""temperature"": 25, ""AGL"": 3.34, ""velocity"": 0, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -91}, ""communication_mode"": ""BEACON"", ""timestamp"": 62730, ""packets_received"": 3, ""kalman_data"": {""altitude"": 0, ""vertical_velocity"": 0}, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}"
1754556041.706135,2025-08-07T11:40:41.706135,4,0,0,-0.07,0,0.96,-3.73,0.06,-10.79,4.91,4.7,-1.2833,36.8167,8.35,10291,101264.8,25,5.01,0,0,0,0,-90,0,0,BEACON,"{""record_number"": 4, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -90, ""acc_data"": {""ax"": -0.07, ""ay"": 0, ""az"": 0.96, ""pitch"": -3.73, ""roll"": 0.06}, ""gyro_data"": {""gx"": -10.79, ""gy"": 4.91, ""gz"": 4.7}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 8.35, ""time"": 10291}, ""alt_data"": {""pressure"": 101264.8, ""temperature"": 25, ""AGL"": 5.01, ""velocity"": 0, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -90}, ""communication_mode"": ""BEACON"", ""timestamp"": 62882, ""packets_received"": 4, ""kalman_data"": {""altitude"": 0, ""vertical_velocity"": 0}, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}"
1754556041.760489,2025-08-07T11:40:41.760489,5,0,0,-0.07,0,0.96,-3.98,-0.12,-11.28,4.91,4.15,-1.2833,36.8167,11.69,10512,101224.7,25,8.35,0,0,0,0,-88,0,0,BEACON,"{""record_number"": 5, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -88, ""acc_data"": {""ax"": -0.07, ""ay"": 0, ""az"": 0.96, ""pitch"": -3.98, ""roll"": -0.12}, ""gyro_data"": {""gx"": -11.28, ""gy"": 4.91, ""gz"": 4.15}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 11.69, ""time"": 10512}, ""alt_data"": {""pressure"": 101224.7, ""temperature"": 25, ""AGL"": 8.35, ""velocity"": 0, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -88}, ""communication_mode"": ""BEACON"", ""timestamp"": 62993, ""packets_received"": 5, ""kalman_data"": {""altitude"": 0, ""vertical_velocity"": 0}, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}"
1754556041.857935,2025-08-07T11:40:41.857935,6,0,0,-0.07,0,0.96,-4.12,0.17,-10.46,4.97,3.45,-1.2833,36.8167,13.36,10612,101204.7,25,10.02,0,0,0,0,-88,0,0,BEACON,"{""record_number"": 6, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -88, ""acc_data"": {""ax"": -0.07, ""ay"": 0, ""az"": 0.96, ""pitch"": -4.12, ""roll"": 0.17}, ""gyro_data"": {""gx"": -10.46, ""gy"": 4.97, ""gz"": 3.45}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 13.36, ""time"": 10612}, ""alt_data"": {""pressure"": 101204.7, ""temperature"": 25, ""AGL"": 10.02, ""velocity"": 0, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -88}, ""communication_mode"": ""BEACON"", ""timestamp"": 63105, ""packets_received"": 6, ""kalman_data"": {""altitude"": 0, ""vertical_velocity"": 0}, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}"
1754556042.012526,2025-08-07T11:40:42.012526,7,0,0,-0.07,0,0.96,-4.03,0.32,-11.25,4.79,4.42,-1.2833,36.8167,15.03,10712,101184.7,25,11.69,0,0,0,0,-93,0,0,BEACON,"{""record_number"": 7, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -93, ""acc_data"": {""ax"": -0.07, ""ay"": 0, ""az"": 0.96, ""pitch"": -4.03, ""roll"": 0.32}, ""gyro_data"": {""gx"": -11.25, ""gy"": 4.79, ""gz"": 4.42}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 15.03, ""time"": 10712}, ""alt_data"": {""pressure"": 101184.7, ""temperature"": 25, ""AGL"": 11.69, ""velocity"": 0, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -93}, ""communication_mode"": ""BEACON"", ""timestamp"": 63220, ""packets_received"": 7, ""kalman_data"": {""altitude"": 0, ""vertical_velocity"": 0}, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0}"
1754556042.10417,2025-08-07T11:40:42.104170,8,0,0,-0.08,0,0.96,-4.4,-0.09,-10.67,5.61,3.75,-1.2833,36.8167,16.7,10811,101164.6,25,13.36,0,0,0,0,-90,0,0.01,BEACON,"{""record_number"": 8, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -90, ""acc_data"": {""ax"": -0.08, ""ay"": 0, ""az"": 0.96, ""pitch"": -4.4, ""roll"": -0.09}, ""gyro_data"": {""gx"": -10.67, ""gy"": 5.61, ""gz"": 3.75}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 16.7, ""time"": 10811}, ""alt_data"": {""pressure"": 101164.6, ""temperature"": 25, ""AGL"": 13.36, ""velocity"": 0, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0.01}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -90}, ""communication_mode"": ""BEACON"", ""timestamp"": 63336, ""packets_received"": 8, ""kalman_data"": {""altitude"": 0, ""vertical_velocity"": 0.01}, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0.01}"
1754556042.163976,2025-08-07T11:40:42.163976,9,0,0,-0.08,0,0.96,-4.31,-0.09,-10.61,5.43,3.38,-1.2833,36.8167,18.37,10912,101144.6,25,15.03,0,0,0,0,-91,0,0.01,BEACON,"{""record_number"": 9, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -91, ""acc_data"": {""ax"": -0.08, ""ay"": 0, ""az"": 0.96, ""pitch"": -4.31, ""roll"": -0.09}, ""gyro_data"": {""gx"": -10.61, ""gy"": 5.43, ""gz"": 3.38}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 18.37, ""time"": 10912}, ""alt_data"": {""pressure"": 101144.6, ""temperature"": 25, ""AGL"": 15.03, ""velocity"": 0, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0.01}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -91}, ""communication_mode"": ""BEACON"", ""timestamp"": 63445, ""packets_received"": 9, ""kalman_data"": {""altitude"": 0, ""vertical_velocity"": 0.01}, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0.01}"
1754556042.262763,2025-08-07T11:40:42.262763,10,0,0,-0.07,0,0.95,-4.26,0,-11.04,3.93,3.57,-1.2833,36.8167,20.04,11012,101124.6,25,16.7,0,0,0,0,-90,0,0.01,BEACON,"{""record_number"": 10, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -90, ""acc_data"": {""ax"": -0.07, ""ay"": 0, ""az"": 0.95, ""pitch"": -4.26, ""roll"": 0}, ""gyro_data"": {""gx"": -11.04, ""gy"": 3.93, ""gz"": 3.57}, ""gps_data"": {""latitude"": -1.2833, ""longitude"": 36.8167, ""gps_altitude"": 20.04, ""time"": 11012}, ""alt_data"": {""pressure"": 101124.6, ""temperature"": 25, ""AGL"": 16.7, ""velocity"": 0, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0.01}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 1, ""timeout_exceeded"": false, ""rssi"": -90}, ""communication_mode"": ""BEACON"", ""timestamp"": 63566, ""packets_received"": 10, ""kalman_data"": {""altitude"": 0, ""vertical_velocity"": 0.01}, ""kalman_altitude"": 0, ""kalman_vertical_velocity"": 0.01}"
